temp_2013,temp_2014,temp_2015,irrad_2013,irrad_2014,irrad_2015
24.9,25.4,24.7,0,0,0
24.9,25.1,24.7,0,0,0
24.9,25.1,24.7,0,0,0
25.1,25,24.7,0,0,0
25.3,25,24.7,0,0,0
25.4,24.9,24.8,0,0,0
25.7,25,24.8,0,0,0
25.8,24.9,24.8,0,0,0
25.9,24.8,24.7,0,0,0
26,24.7,24.7,0,0,0
26,24.7,24.7,0,0,0
26.1,24.7,24.6,0,0,0
26.1,24.7,24.5,0,0,0
26.2,24.7,24.4,0,0,0
26.1,24.6,24.4,0,0,0
26.1,24.5,24.4,0,0,0
26.2,24.5,24.4,0,0,0
26.1,24.5,24.3,0,0,0
26.1,24.5,24.4,0,0,0
26.1,24.5,24.3,0,0,0
26,24.5,24.1,0,0,0
25.9,24.5,24.1,0,0,0
25.8,24.5,24.1,0,0,0
25.8,24.5,24.1,0,0,0
25.7,24.5,24,0,0,0
25.6,24.5,24,0,0,0
25.6,24.4,24,0,0,0
25.6,24.4,24.1,0,0,0
25.7,24.3,24.2,0,0,0
25.7,24.3,24.4,0,0,0
25.9,24.3,24.6,0,0,0
26,24.3,24.8,0,0,0
26.2,24.2,25,0,0,0
26.2,24.2,25,0,0,0
26.2,24.1,25.2,0,0,0
26.2,24.2,25.2,0,0,0
26.1,24.1,25.2,0,0,0
26.1,24.1,25.2,0,0,0
26.1,24,25.1,0,0,0
26.1,24,25.1,0,0,0
26,24,25.1,0,0,0
25.8,23.9,25.1,0,0,0
25.7,24,25.1,0,0,0
25.7,23.9,25.1,0,0,0
25.7,23.8,25.3,0,0,0
25.6,23.8,25.3,0,0,0
25.7,23.8,25.3,0,0,0
25.8,23.8,25.3,0,0,0
25.8,23.9,25.3,0,0,0
25.9,23.9,25.2,0,0,0
26,23.8,25.2,0,0,0
26.1,23.7,25,0,0,0
26.2,23.7,24.9,0,0,0
26.2,23.6,24.7,0,0,0
26.2,23.6,24.5,0,0,0
26.1,23.7,24.3,0,0,0
26.1,23.7,24.1,0,0,0
26,23.9,24,0,0,0
26.1,23.8,23.9,0,0,0
26,23.8,23.9,0,0,0
25.8,23.6,24,0,0,0
25.6,23.6,24,0,0,0
25.5,23.6,24.1,0,0,0
25.5,23.5,24.2,0,0,0
25.5,23.5,24.2,0,0,0
25.6,23.4,24.2,0,0,0
25.6,23.5,24.2,0,0,0
25.7,23.5,24.1,0,0,0
25.8,23.3,23.9,0,0,0
25.7,23.3,23.8,0,0,0
25.7,23.3,23.6,0,0,0
25.6,23.2,23.5,0,0,0
25.6,23.2,23.4,0,0,0
25.6,23.2,23.6,0,0,0
25.6,23.2,23.8,0,0,0
25.6,23.2,23.9,0,0,0
25.6,23.1,23.9,0,0,0
25.6,23.1,23.6,0,0,0
25.6,23.1,23.4,0,0,0
25.6,23.1,23.3,0,0,0
25.7,23,23.3,0,0,0
25.7,23,23.2,0,0,0
25.6,23,23.1,0,0,0
25.6,23,22.9,0,0,0
25.6,23,22.9,0,0,0
25.6,23,22.9,0,0,0
25.5,23,22.8,0,0,0
25.4,23.1,22.9,0,0,0
25.1,23.1,22.9,0,0,0
24.9,23,22.9,0,0,0
24.8,23.1,23,0,0,0
24.6,23.1,23.1,0,0,0
24.5,23.1,23.1,0,0,0
24.5,23.1,23.1,0,0,0
24.5,23.2,23.2,0,0,0
24.5,23.1,23.4,0,0,0
24.5,23.2,23.5,0,0,0
24.5,23.1,23.6,0,0,0
24.5,23,23.7,0,0,0
24.4,23,23.7,0,0,2
24.4,23,23.6,3,3,4
24.5,23.2,23.6,9,7,9
24.5,23.4,23.9,16,12,24
24.7,23.6,24.1,24,17,38
24.8,23.8,24.1,33,23,52
24.9,23.9,24.5,41,29,62
25.1,24.1,25.4,49,36,62
25.3,24.3,26,57,40,48
25.7,24.5,26,64,43,46
26.4,24.7,26.4,70,49,46
27,25,26.4,74,59,59
27.5,25.3,26.2,79,65,62
28,25.6,26.2,133,99,62
29.5,26.6,26.7,171,126,156
31.2,27.8,28.2,276,201,175
33.4,29.5,29.3,313,244,182
35.8,30.6,29.3,342,273,133
37.8,31.7,30.2,377,290,121
39.5,33.1,30,408,316,110
40.9,33.1,29.9,443,316,132
42.3,35.2,29.9,475,363,143
43.6,37.6,30.6,492,398,137
44.7,40.6,30.7,531,424,139
46,42.8,30.7,566,446,148
47.6,44.6,30.8,593,465,205
49,46,32.4,623,489,320
49.9,47.2,34.1,631,504,360
51.1,47.2,35,644,543,350
51.6,49.2,36.1,625,562,396
51.4,49.8,38.3,690,580,534
51.6,49.9,41.5,728,605,373
52.3,49.9,42.7,760,632,568
54.2,51.9,45.7,726,650,446
54.2,51.7,45.7,722,682,378
55.3,52.8,46.3,778,674,628
55.2,53.4,49.7,750,712,628
55.3,54.3,50.5,722,725,617
55.5,55.1,52.9,766,757,729
55.8,56.2,53.7,791,778,735
56.5,56.9,55,787,785,736
56.9,57.4,55.2,842,800,637
57.8,57.1,55.6,852,814,797
58.5,54.9,56.3,805,824,817
59,54.9,57.8,907,844,845
59.7,56.3,59.1,936,856,857
61.5,57.6,60.4,955,878,867
62.3,58.7,60.1,941,870,860
62,58.7,60.8,868,900,791
60.8,58.7,58.7,611,900,746
57.9,59.5,59,628,920,953
56.4,60.3,60.9,740,907,968
56.7,60.4,61.4,729,923,762
55.3,60.4,57.9,674,957,521
57.4,63.7,57.9,985,973,618
61.3,64.8,53.3,988,980,541
63.7,65.5,52.1,1033,972,776
63.9,65.5,53.5,646,987,696
61.1,65.3,53.5,1035,973,696
62.5,65.2,54.6,795,1022,784
57.9,64.6,55.9,291,1028,1027
53.5,64.6,60.2,497,1035,1053
52.8,65.9,60.3,609,1062,584
54.1,66,56.5,803,1041,448
57.6,66,52.5,808,1064,396
59.3,66.8,49.3,837,1073,409
62.4,68.1,48.3,1026,1081,491
64.9,68.6,48.6,1124,1102,448
67.4,67.1,48.7,960,431,480
62.6,58.4,48.7,339,249,464
54.1,53.6,48.3,316,593,486
51.3,55.7,49.5,563,955,562
50.1,61.7,48.3,212,813,331
47.1,59.4,46.2,198,328,377
45.1,54.8,46.3,192,537,483
43.9,56.1,47.5,174,783,457
42.8,59.2,47.3,172,865,413
42.3,59,46.9,201,520,404
42,59,46.4,213,394,358
41.9,53.4,45.7,233,462,388
42.2,53.5,46.7,341,616,568
42,53.8,48.7,196,676,439
40.2,53.8,46.7,161,763,373
38.5,57,46.8,157,290,445
37.6,53.1,47.1,141,346,414
37.1,50.3,48.1,167,272,613
36.9,50.3,50.8,199,213,702
37,45.9,52.2,172,152,586
36.7,43.9,53.1,105,129,843
35.5,42.1,56.3,124,118,721
34.8,42.1,55.1,95,118,619
33.8,40.4,55.1,96,147,619
33,40.4,54.5,94,203,682
32.5,41,54.6,111,252,727
32.3,41,55.3,107,382,785
31.9,43.8,54.4,67,251,464
30.9,44,51.5,23,267,593
29.6,45.8,51.5,24,657,566
28.7,45.8,50,17,360,572
27.8,48.9,50,12,351,572
26.4,48.2,49,6,249,593
25.6,45,50.5,5,170,686
24.9,45,52.2,10,157,567
25,41.1,49.7,16,261,380
24.8,40.9,46.6,19,217,313
24.6,40.9,43.7,21,362,272
24.7,42.9,41.7,29,375,280
24.7,43.3,41.7,24,249,305
24.8,41.9,41,17,220,361
25,40.9,42.4,20,178,514
25.1,40.9,44.3,21,186,503
25.2,39.2,45.7,17,236,473
25.1,39.5,45.8,19,222,386
25.2,39.7,44.5,25,194,202
25.2,39.7,40.9,28,159,163
25.2,37.9,38.6,28,137,111
25.2,37,36.6,25,178,85
25.3,37.4,34.8,26,228,106
25.3,37.4,34.3,23,228,96
25.3,38.9,34.1,18,223,119
25.3,38.8,33.5,27,201,168
25.5,38.3,32.2,42,160,152
25.8,37.3,30.9,62,139,85
26.1,36.4,29.1,68,162,67
26.3,36.6,29.1,67,173,70
26.5,37.1,27.8,58,218,70
26.4,37.9,27.6,49,216,62
26.3,38.4,27.4,46,176,47
26.5,37.7,27.2,46,132,45
26.8,36.5,27.2,49,117,48
